image,libjpeg8-q95,yoga-jpeg-q95,libpng16,yoga-png,yoga-png-slow,cwebp-q95,yoga-webp-q95,cwebp-lossless,yoga-webp-lossless
drawing_gbdev11.png,77690,63879,123578,89566,89540,34920,34398,67512,66486
drawing_keyblade.png,62876,34565,101319,79186,78927,29090,28844,60130,58784
drawing_micropython.png,65652,53488,55345,42727,42687,21970,21288,32110,31612
drawing_pixelart.png,132957,75526,14896,3697,3697,49476,48920,3636,3612
photo_fire_oven.jpg,349953,296232,2088970,1945577,1901634,276498,277646,1543320,1586102
photo_forest.png,6999732,6384347,21829741,21321839,21285898,4326202,3977772,17347656,17269648
photo_fox.jpg,810310,581883,3020502,2772560,2742228,490526,451524,2100218,2220242
photo_gameboy.jpg,3520797,2445280,11826803,9979123,9785466,2593924,2468244,7069696,7579386
photo_park_plaza.jpg,6218086,4235973,23830009,23900659,23884927,4286456,3942158,18924362,18742190
screenshot_sdcc_install.png,96798,66558,9727,8193,8193,36712,36404,7408,7154
screenshot_yoga.png,131643,101682,103016,85868,85332,60112,59764,53774,51560
